------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
20 kW turbine from the Unsteady Aerodynamics Experiment. File developed while developing the OpenFAST.jl wrapper.
======  Blade Properties =================================================================
         92   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
2.9195800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3779395E+00  5.1688608E-01        2
2.9647900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2946309E+00  5.1231858E-01        2
3.0100000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2149131E+00  5.0785448E-01        2
3.0552100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1361947E+00  5.0342108E-01        2
3.1004200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0587494E+00  4.9900267E-01        2
3.1456300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9828638E+00  4.9458388E-01        2
3.1908400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9088244E+00  4.9014933E-01        2
3.2360500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8369177E+00  4.8568364E-01        2
3.2812600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7673849E+00  4.8116975E-01        2
3.3264700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6986974E+00  4.7654503E-01        2
3.3716800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6300622E+00  4.7182987E-01        2
3.4168900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5615764E+00  4.6708709E-01        2
3.4621000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4933367E+00  4.6237947E-01        2
3.5073100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4254401E+00  4.5776981E-01        2
3.5152000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4136333E+00  4.5698005E-01        2
3.5525200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3578319E+00  4.5345658E-01        2
3.5977300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2907301E+00  4.4899466E-01        2
3.6429400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2240128E+00  4.4439954E-01        2
3.6881500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.1575833E+00  4.3980443E-01        2
3.7333600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0914564E+00  4.3520931E-01        2
3.7785700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0256472E+00  4.3061420E-01        2
3.8237800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.9601707E+00  4.2601908E-01        2
3.8689900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.8950420E+00  4.2142397E-01        2
3.9142000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.8302306E+00  4.1682885E-01        2
3.9594100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7656219E+00  4.1223374E-01        2
4.0046200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7012349E+00  4.0763862E-01        2
4.0498300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6370980E+00  4.0304351E-01        2
4.0950400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5732398E+00  3.9844839E-01        2
4.1402500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5096888E+00  3.9385328E-01        2
4.1854600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4464734E+00  3.8925816E-01        2
4.2306700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3834789E+00  3.8492055E-01        2
4.2695500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3293427E+00  3.8124382E-01        2
4.2758800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3205310E+00  3.8061117E-01        2
4.3210900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2575257E+00  3.7596344E-01        2
4.3663000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1944766E+00  3.7117380E-01        2
4.4115100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1315014E+00  3.6634840E-01        2
4.4567200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0687176E+00  3.6159339E-01        2
4.5019300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0062421E+00  3.5701003E-01        2
4.5210000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9800000E+00  3.5511709E-01        2
