Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,12.83,0,3,803260.6974,2533615.92,798860.3512,52196.10245,-74803.44498,3115481.116,5679503.622,34256.50101,NaN,NaN
0,12.83,0,4,1098719.837,4864025.345,1092700.935,74864.04886,-80276.30243,5706938.802,7340117.08,80531.04452,NaN,NaN
0,12.83,0,5,1540833.465,12277512.28,1532392.618,141266.6032,-152560.1713,13410273.58,10509059.83,397948.4208,NaN,NaN
0,12.83,0,6,2037223.31,20026682.29,2026063.188,210411.4022,-194240.7728,21173977.37,14114625.61,-1804276.255,NaN,NaN
0,12.83,0,7,2478802.605,20952634.21,2465223.465,238283.6774,-190256.8287,22065095.56,19310850.08,-4637152.242,NaN,NaN
0,12.83,0,8,2891990.479,19067053.15,2876147.853,248153.003,-195564.8994,20411591.54,25133770.47,-4365584.184,NaN,NaN
0,12.83,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,12.83,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
