Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,18.40903056,15,3,835762.1468,18112295.65,831183.7543,155799.3926,-241357.0484,18598697.38,7636440.099,-1294370.018,NaN,NaN
0,18.40903056,15,4,1037733.196,27510246.84,1032048.385,230319.5848,-300527.5104,27993274.24,10661926.72,-3806026.32,NaN,NaN
0,18.40903056,15,5,1106656.539,27181884.79,1100594.159,232947.9879,-263120.2751,27353506.13,13129356,-8026880.938,NaN,NaN
0,18.40903056,15,6,986650.3115,17024431.16,981245.3378,165027.4715,-197972.0438,16960645.28,13429367.97,-8869431.615,NaN,NaN
0,18.40903056,15,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,15,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,15,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,15,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
