Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,12.8,10,3,5.54E+05,1.09E+07,5.50E+05,2.39E+01,-1.15E+07,1.10E+07,-4.75E+07,3.28E+05,1.57E+07,6.37E+05
0,12.8,10,4,7.74E+05,1.51E+07,7.69E+05,5.76E+02,-1.15E+07,1.51E+07,-4.60E+07,-4.71E+05,2.09E+07,9.99E+05
0,12.8,10,5,8.63E+05,1.28E+07,8.58E+05,7.77E+02,-1.15E+07,1.27E+07,-4.54E+07,-1.36E+06,2.15E+07,9.09E+04
0,12.8,10,6,7.79E+05,5.79E+06,7.76E+05,8.58E+02,-1.15E+07,5.65E+06,-4.58E+07,-1.64E+06,1.77E+07,-1.47E+06
0,12.8,10,7,5.64E+05,-2.95E+06,5.63E+05,7.42E+02,-1.15E+07,-3.11E+06,-4.72E+07,-1.33E+06,1.17E+07,-3.15E+06
0,12.8,10,8,2.94E+05,-1.18E+07,2.94E+05,3.19E+02,-1.14E+07,-1.20E+07,-4.90E+07,-5.57E+05,5.11E+06,-4.74E+06
0,12.8,10,9,-1.01E+03,-2.07E+07,6.81E+02,-1.20E+02,-1.14E+07,-2.08E+07,-5.10E+07,2.19E+05,-2.00E+06,-6.26E+06
0,12.8,10,10,-3.25E+05,-3.00E+07,-3.22E+05,-4.62E+02,-1.14E+07,-3.00E+07,-5.32E+07,9.80E+05,-9.99E+06,-7.72E+06
