Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,12.8,0,3,5.76E+05,-1.18E+06,5.73E+05,-1.55E+02,-1.15E+07,-1.01E+06,-4.72E+07,1.62E+06,1.55E+07,-3.85E+05
0,12.8,0,4,8.76E+05,3.68E+06,8.71E+05,-3.42E+02,-1.15E+07,3.90E+06,-4.51E+07,1.88E+06,2.36E+07,1.14E+06
0,12.8,0,5,1.27E+06,1.07E+07,1.26E+06,-2.40E+02,-1.16E+07,1.09E+07,-4.24E+07,1.63E+06,3.36E+07,3.32E+06
0,12.8,0,6,1.74E+06,1.73E+07,1.73E+06,4.59E+02,-1.16E+07,1.75E+07,-3.92E+07,1.43E+06,4.53E+07,5.31E+06
0,12.8,0,7,2.27E+06,2.10E+07,2.25E+06,1.71E+03,-1.17E+07,2.12E+07,-3.56E+07,1.16E+06,5.82E+07,6.40E+06
0,12.8,0,8,2.78E+06,2.04E+07,2.77E+06,4.10E+03,-1.17E+07,2.06E+07,-3.25E+07,8.60E+05,7.08E+07,6.18E+06
0,12.8,0,9,3.16E+06,1.60E+07,3.14E+06,7.19E+03,-1.17E+07,1.61E+07,-3.09E+07,8.06E+04,8.03E+07,4.84E+06
0,12.8,0,10,3.39E+06,1.02E+07,3.38E+06,9.05E+03,-1.18E+07,1.02E+07,-3.02E+07,1.07E+05,8.70E+07,3.04E+06
