Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,18.40903056,9,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,9,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,9,5,1624916.525,33385332.93,1616015.063,283351.0533,-246125.2948,34272129,12530876.59,-2896589.795,NaN,NaN
0,18.40903056,9,6,1931654.747,40008547.16,1921072.94,340873.2494,-268399.814,40872342.65,17724130.95,-6575529.153,NaN,NaN
0,18.40903056,9,7,2062139.952,36137979.98,2050843.334,320982.5471,-234630.3094,36702156.2,20513424.01,-9909944.839,NaN,NaN
0,18.40903056,9,8,2093824.554,29281294.95,2082354.364,272918.3088,-224152.8791,29604184.71,21340402.8,-11194778.96,NaN,NaN
0,18.40903056,9,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,18.40903056,9,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
