Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,18.39,9,3,7.73E+05,7.39E+06,7.68E+05,-1.72E+02,-1.15E+07,7.57E+06,-4.59E+07,1.32E+06,1.87E+07,-7.04E+05
0,18.39,9,4,1.05E+06,1.73E+07,1.04E+06,-1.39E+02,-1.15E+07,1.75E+07,-4.40E+07,1.05E+06,2.65E+07,1.21E+06
0,18.39,9,5,1.40E+06,2.72E+07,1.39E+06,3.79E+02,-1.16E+07,2.74E+07,-4.17E+07,4.99E+05,3.57E+07,2.85E+06
0,18.39,9,6,1.74E+06,3.23E+07,1.73E+06,1.28E+03,-1.16E+07,3.24E+07,-3.95E+07,-7.22E+05,4.35E+07,3.13E+06
0,18.39,9,7,1.95E+06,3.10E+07,1.94E+06,1.88E+03,-1.16E+07,3.09E+07,-3.81E+07,-2.09E+06,4.67E+07,2.10E+06
0,18.39,9,8,1.99E+06,2.43E+07,1.98E+06,2.23E+03,-1.16E+07,2.41E+07,-3.76E+07,-3.01E+06,4.50E+07,1.58E+05
0,18.39,9,9,1.87E+06,1.40E+07,1.86E+06,2.30E+03,-1.16E+07,1.37E+07,-3.84E+07,-3.34E+06,3.97E+07,-2.27E+06
0,18.39,9,10,1.60E+06,1.88E+06,1.59E+06,2.29E+03,-1.16E+07,1.54E+06,-4.00E+07,-3.14E+06,3.21E+07,-4.82E+06
