Time (sec), Wind Speed (m/s), Blade Pitch (deg), RPM [rpm], Rotor Thrust [N], Rotor Torque [Nm], Tower Top Fx [N], Tower Top Fy [N], Tower Top Fz [N], Tower Top Mx [Nm], Tower Top My [Nm], Tower Top Mz [Nm], BRBM flap [Nm], BRBM edge [Nm]
0,18.39,15,3,7.36E+05,1.61E+07,7.31E+05,-1.11E+02,-1.15E+07,1.62E+07,-4.62E+07,2.76E+05,1.87E+07,9.15E+04
0,18.39,15,4,9.66E+05,2.47E+07,9.59E+05,3.76E+02,-1.15E+07,2.47E+07,-4.47E+07,-7.08E+05,2.50E+07,1.14E+06
0,18.39,15,5,1.08E+06,2.40E+07,1.07E+06,7.97E+02,-1.16E+07,2.39E+07,-4.39E+07,-2.41E+06,2.60E+07,5.51E+05
0,18.39,15,6,9.93E+05,1.57E+07,9.88E+05,4.67E+02,-1.15E+07,1.54E+07,-4.44E+07,-3.22E+06,2.09E+07,-8.88E+05
0,18.39,15,7,7.60E+05,3.62E+06,7.58E+05,3.65E+02,-1.15E+07,3.32E+06,-4.57E+07,-3.04E+06,1.27E+07,-2.61E+06
0,18.39,15,8,4.13E+05,-1.00E+07,4.14E+05,4.19E+01,-1.14E+07,-1.04E+07,-4.79E+07,-2.62E+06,2.80E+06,-4.31E+06
0,18.39,15,9,-2.81E+04,-2.44E+07,-2.39E+04,-2.24E+02,-1.14E+07,-2.47E+07,-5.09E+07,-1.80E+06,-8.65E+06,-5.79E+06
0,18.39,15,10,-5.34E+05,-3.91E+07,-5.27E+05,-6.57E+02,-1.13E+07,-3.94E+07,-5.44E+07,-7.22E+05,-2.15E+07,-6.99E+06
