38 ## Number of blade sections
2 ## Number of lofts
2 ## Number of spars
1     Cylinder.dat
2     Cylinder.dat
3     Cylinder.dat
4     Cylinder.dat
5     ffaw3600.dat
6     ffaw3600.dat
7     ffaw3600.dat
8     ffaw3600.dat
9     ffaw3480.dat
10     ffaw3480.dat
11     ffaw3360.dat
12     ffaw3360.dat
13     ffaw3360.dat
14     ffaw3301.dat
15     ffaw3301.dat
16     ffaw3301.dat
17     ffaw3301.dat
18     ffaw3241.dat
19     ffaw3241.dat
20     ffaw3241.dat
21     ffaw3241.dat
22     ffaw3241.dat
23     ffaw3241.dat
24     ffaw3241.dat
25     ffaw3241.dat
26     ffaw3241.dat
27     ffaw3241.dat
28     ffaw3241.dat
29     ffaw3241.dat
30     ffaw3241.dat
31     ffaw3241.dat
32     ffaw3241.dat
33     ffaw3241.dat
34     ffaw3241.dat
35     ffaw3241.dat
36     ffaw3241.dat
37     ffaw3241.dat
38     ffaw3241.dat
#NODE RNODES   TWIST   DRNODES  CHORD  AEROCENT  AEROORIG LOFT  
1	0	14.49106	0	5.38	0.125	0.25	1	
2	4.8	14.49106	0	5.38	0.125	0.25	1	
3	7.512	14.424209	0	5.422947	0.125	0.25	1	
4	9.119	14.260414	0	5.503171	0.125	0.25	1	
5	10.275	14.043888	0	5.577011	0.125	0.25	2	
6	11.658	13.581343	0	5.678866	0.125	0.25	2	
7	13.258	12.908756	0	5.802144	0.125	0.25	2	
8	15.068	11.908994	0	5.937015	0.125	0.25	2	
9	17.075	10.680366	0	6.063689	0.125	0.25	2	
10	19.267	9.479599	0	6.157123	0.125	0.25	2	
11	21.633	8.385097	0	6.201273	0.125	0.25	2	
12	24.156	7.60694	0	6.191868	0.125	0.25	2	
13	26.823	6.957972	0	6.128953	0.125	0.25	2	
14	29.617	6.369216	0	6.013883	0.125	0.25	2	
15	32.521	5.809149	0	5.85419	0.125	0.25	2	
16	35.519	5.254826	0	5.657992	0.125	0.25	2	
17	38.591	4.69118	0	5.43481	0.125	0.25	2	
18	41.72	4.087893	0	5.190131	0.125	0.25	2	
19	44.886	3.44539	0	4.929373	0.125	0.25	2	
20	48.072	2.790276	0	4.658367	0.125	0.25	2	
21	51.257	2.125135	0	4.383529	0.125	0.25	2	
22	54.423	1.481714	0	4.110851	0.125	0.25	2	
23	57.55	0.86834	0	3.844928	0.125	0.25	2	
24	60.62	0.294717	0	3.588651	0.125	0.25	2	
25	63.615	-0.221191	0	3.344616	0.125	0.25	2	
26	66.516	-0.704843	0	3.115337	0.125	0.25	2	
27	69.306	-1.120529	0	2.902838	0.125	0.25	2	
28	71.968	-1.517145	0	2.707497	0.125	0.25	2	
29	74.487	-1.876009	0	2.529161	0.125	0.25	2	
30	76.847	-2.210462	0	2.364962	0.125	0.25	2	
31	79.034	-2.520387	0	2.20011	0.125	0.25	2	
32	81.034	-2.797971	0	2.018238	0.125	0.25	2	
33	82.837	-3.032812	0	1.811887	0.125	0.25	2	
34	84.431	-3.220965	0	1.536297	0.125	0.25	2	
35	85.806	-3.369622	0	1.1384	0.125	0.25	2	
36	86.955	-3.42796	0	1.1384	0.125	0.25	2	
37	87.87	-3.42796	0	1.1384	0.125	0.25	2	
38	88.546	-3.42796	0	1.1384	0.125	0.25	2	
#SPAR PERCENTAGE
0.15
0.5
