
Predictions were generated on 29-Mar-2021 at 17:22:47 using AeroDyn_driver
 AeroDyn

Case 1: WndSpeed=8 m/s; ShearExp=0 ; RotSpeed=6.6913 rpm; Pitch=0 deg; Yaw=0 deg; dT=0.1 s; Tmax=1 s

     Time           	RtAeroPwr           	RtAeroFxh           	RtAeroMxh           	RtAeroCp            	RtAeroCq            	RtAeroCt            	B1N1Fn              	B1N2Fn              	B1N3Fn              	B1N4Fn              	B1N5Fn              	B1N6Fn              	B1N7Fn              	B1N8Fn              	B1N9Fn              	B1N1Ft              	B1N2Ft              	B1N3Ft              	B1N4Ft              	B1N5Ft              	B1N6Ft              	B1N7Ft              	B1N8Ft              	B1N9Ft              	B1N1Cn              	B1N2Cn              	B1N3Cn              	B1N4Cn              	B1N5Cn              	B1N6Cn              	B1N7Cn              	B1N8Cn              	B1N9Cn              	B1N1Ct              	B1N2Ct              	B1N3Ct              	B1N4Ct              	B1N5Ct              	B1N6Ct              	B1N7Ct              	B1N8Ct              	B1N9Ct              	AB1N001VUndx        	AB1N002VUndx        	AB1N003VUndx        	AB1N004VUndx        	AB1N005VUndx        	AB1N006VUndx        	AB1N007VUndx        	AB1N008VUndx        	AB1N009VUndx        	AB1N010VUndx        	AB1N011VUndx        	AB1N012VUndx        	AB1N013VUndx        	AB1N014VUndx        	AB1N015VUndx        	AB1N016VUndx        	AB1N017VUndx        	AB1N018VUndx        	AB1N019VUndx        	AB1N020VUndx        	AB1N021VUndx        	AB1N022VUndx        	AB1N023VUndx        	AB1N024VUndx        	AB1N025VUndx        	AB1N026VUndx        	AB1N027VUndx        	AB1N028VUndx        	AB1N029VUndx        	AB1N030VUndx        	AB1N031VUndx        	AB1N032VUndx        	AB1N033VUndx        	AB1N034VUndx        	AB1N035VUndx        	AB1N036VUndx        	AB1N037VUndx        	AB1N038VUndx        	AB1N039VUndx        	AB1N040VUndx        	AB1N001VUndy        	AB1N002VUndy        	AB1N003VUndy        	AB1N004VUndy        	AB1N005VUndy        	AB1N006VUndy        	AB1N007VUndy        	AB1N008VUndy        	AB1N009VUndy        	AB1N010VUndy        	AB1N011VUndy        	AB1N012VUndy        	AB1N013VUndy        	AB1N014VUndy        	AB1N015VUndy        	AB1N016VUndy        	AB1N017VUndy        	AB1N018VUndy        	AB1N019VUndy        	AB1N020VUndy        	AB1N021VUndy        	AB1N022VUndy        	AB1N023VUndy        	AB1N024VUndy        	AB1N025VUndy        	AB1N026VUndy        	AB1N027VUndy        	AB1N028VUndy        	AB1N029VUndy        	AB1N030VUndy        	AB1N031VUndy        	AB1N032VUndy        	AB1N033VUndy        	AB1N034VUndy        	AB1N035VUndy        	AB1N036VUndy        	AB1N037VUndy        	AB1N038VUndy        	AB1N039VUndy        	AB1N040VUndy        	AB1N001VUndz        	AB1N002VUndz        	AB1N003VUndz        	AB1N004VUndz        	AB1N005VUndz        	AB1N006VUndz        	AB1N007VUndz        	AB1N008VUndz        	AB1N009VUndz        	AB1N010VUndz        	AB1N011VUndz        	AB1N012VUndz        	AB1N013VUndz        	AB1N014VUndz        	AB1N015VUndz        	AB1N016VUndz        	AB1N017VUndz        	AB1N018VUndz        	AB1N019VUndz        	AB1N020VUndz        	AB1N021VUndz        	AB1N022VUndz        	AB1N023VUndz        	AB1N024VUndz        	AB1N025VUndz        	AB1N026VUndz        	AB1N027VUndz        	AB1N028VUndz        	AB1N029VUndz        	AB1N030VUndz        	AB1N031VUndz        	AB1N032VUndz        	AB1N033VUndz        	AB1N034VUndz        	AB1N035VUndz        	AB1N036VUndz        	AB1N037VUndz        	AB1N038VUndz        	AB1N039VUndz        	AB1N040VUndz        	AB1N001Ft           	AB1N002Ft           	AB1N003Ft           	AB1N004Ft           	AB1N005Ft           	AB1N006Ft           	AB1N007Ft           	AB1N008Ft           	AB1N009Ft           	AB1N010Ft           	AB1N011Ft           	AB1N012Ft           	AB1N013Ft           	AB1N014Ft           	AB1N015Ft           	AB1N016Ft           	AB1N017Ft           	AB1N018Ft           	AB1N019Ft           	AB1N020Ft           	AB1N021Ft           	AB1N022Ft           	AB1N023Ft           	AB1N024Ft           	AB1N025Ft           	AB1N026Ft           	AB1N027Ft           	AB1N028Ft           	AB1N029Ft           	AB1N030Ft           	AB1N031Ft           	AB1N032Ft           	AB1N033Ft           	AB1N034Ft           	AB1N035Ft           	AB1N036Ft           	AB1N037Ft           	AB1N038Ft           	AB1N039Ft           	AB1N040Ft           	AB1N001Fn           	AB1N002Fn           	AB1N003Fn           	AB1N004Fn           	AB1N005Fn           	AB1N006Fn           	AB1N007Fn           	AB1N008Fn           	AB1N009Fn           	AB1N010Fn           	AB1N011Fn           	AB1N012Fn           	AB1N013Fn           	AB1N014Fn           	AB1N015Fn           	AB1N016Fn           	AB1N017Fn           	AB1N018Fn           	AB1N019Fn           	AB1N020Fn           	AB1N021Fn           	AB1N022Fn           	AB1N023Fn           	AB1N024Fn           	AB1N025Fn           	AB1N026Fn           	AB1N027Fn           	AB1N028Fn           	AB1N029Fn           	AB1N030Fn           	AB1N031Fn           	AB1N032Fn           	AB1N033Fn           	AB1N034Fn           	AB1N035Fn           	AB1N036Fn           	AB1N037Fn           	AB1N038Fn           	AB1N039Fn           	AB1N040Fn           	AB1N001Fy           	AB1N002Fy           	AB1N003Fy           	AB1N004Fy           	AB1N005Fy           	AB1N006Fy           	AB1N007Fy           	AB1N008Fy           	AB1N009Fy           	AB1N010Fy           	AB1N011Fy           	AB1N012Fy           	AB1N013Fy           	AB1N014Fy           	AB1N015Fy           	AB1N016Fy           	AB1N017Fy           	AB1N018Fy           	AB1N019Fy           	AB1N020Fy           	AB1N021Fy           	AB1N022Fy           	AB1N023Fy           	AB1N024Fy           	AB1N025Fy           	AB1N026Fy           	AB1N027Fy           	AB1N028Fy           	AB1N029Fy           	AB1N030Fy           	AB1N031Fy           	AB1N032Fy           	AB1N033Fy           	AB1N034Fy           	AB1N035Fy           	AB1N036Fy           	AB1N037Fy           	AB1N038Fy           	AB1N039Fy           	AB1N040Fy           	AB1N001Fx           	AB1N002Fx           	AB1N003Fx           	AB1N004Fx           	AB1N005Fx           	AB1N006Fx           	AB1N007Fx           	AB1N008Fx           	AB1N009Fx           	AB1N010Fx           	AB1N011Fx           	AB1N012Fx           	AB1N013Fx           	AB1N014Fx           	AB1N015Fx           	AB1N016Fx           	AB1N017Fx           	AB1N018Fx           	AB1N019Fx           	AB1N020Fx           	AB1N021Fx           	AB1N022Fx           	AB1N023Fx           	AB1N024Fx           	AB1N025Fx           	AB1N026Fx           	AB1N027Fx           	AB1N028Fx           	AB1N029Fx           	AB1N030Fx           	AB1N031Fx           	AB1N032Fx           	AB1N033Fx           	AB1N034Fx           	AB1N035Fx           	AB1N036Fx           	AB1N037Fx           	AB1N038Fx           	AB1N039Fx           	AB1N040Fx           	AB1N001Ct           	AB1N002Ct           	AB1N003Ct           	AB1N004Ct           	AB1N005Ct           	AB1N006Ct           	AB1N007Ct           	AB1N008Ct           	AB1N009Ct           	AB1N010Ct           	AB1N011Ct           	AB1N012Ct           	AB1N013Ct           	AB1N014Ct           	AB1N015Ct           	AB1N016Ct           	AB1N017Ct           	AB1N018Ct           	AB1N019Ct           	AB1N020Ct           	AB1N021Ct           	AB1N022Ct           	AB1N023Ct           	AB1N024Ct           	AB1N025Ct           	AB1N026Ct           	AB1N027Ct           	AB1N028Ct           	AB1N029Ct           	AB1N030Ct           	AB1N031Ct           	AB1N032Ct           	AB1N033Ct           	AB1N034Ct           	AB1N035Ct           	AB1N036Ct           	AB1N037Ct           	AB1N038Ct           	AB1N039Ct           	AB1N040Ct           	AB1N001Cn           	AB1N002Cn           	AB1N003Cn           	AB1N004Cn           	AB1N005Cn           	AB1N006Cn           	AB1N007Cn           	AB1N008Cn           	AB1N009Cn           	AB1N010Cn           	AB1N011Cn           	AB1N012Cn           	AB1N013Cn           	AB1N014Cn           	AB1N015Cn           	AB1N016Cn           	AB1N017Cn           	AB1N018Cn           	AB1N019Cn           	AB1N020Cn           	AB1N021Cn           	AB1N022Cn           	AB1N023Cn           	AB1N024Cn           	AB1N025Cn           	AB1N026Cn           	AB1N027Cn           	AB1N028Cn           	AB1N029Cn           	AB1N030Cn           	AB1N031Cn           	AB1N032Cn           	AB1N033Cn           	AB1N034Cn           	AB1N035Cn           	AB1N036Cn           	AB1N037Cn           	AB1N038Cn           	AB1N039Cn           	AB1N040Cn           	AB1N001Cy           	AB1N002Cy           	AB1N003Cy           	AB1N004Cy           	AB1N005Cy           	AB1N006Cy           	AB1N007Cy           	AB1N008Cy           	AB1N009Cy           	AB1N010Cy           	AB1N011Cy           	AB1N012Cy           	AB1N013Cy           	AB1N014Cy           	AB1N015Cy           	AB1N016Cy           	AB1N017Cy           	AB1N018Cy           	AB1N019Cy           	AB1N020Cy           	AB1N021Cy           	AB1N022Cy           	AB1N023Cy           	AB1N024Cy           	AB1N025Cy           	AB1N026Cy           	AB1N027Cy           	AB1N028Cy           	AB1N029Cy           	AB1N030Cy           	AB1N031Cy           	AB1N032Cy           	AB1N033Cy           	AB1N034Cy           	AB1N035Cy           	AB1N036Cy           	AB1N037Cy           	AB1N038Cy           	AB1N039Cy           	AB1N040Cy           	AB1N001Cx           	AB1N002Cx           	AB1N003Cx           	AB1N004Cx           	AB1N005Cx           	AB1N006Cx           	AB1N007Cx           	AB1N008Cx           	AB1N009Cx           	AB1N010Cx           	AB1N011Cx           	AB1N012Cx           	AB1N013Cx           	AB1N014Cx           	AB1N015Cx           	AB1N016Cx           	AB1N017Cx           	AB1N018Cx           	AB1N019Cx           	AB1N020Cx           	AB1N021Cx           	AB1N022Cx           	AB1N023Cx           	AB1N024Cx           	AB1N025Cx           	AB1N026Cx           	AB1N027Cx           	AB1N028Cx           	AB1N029Cx           	AB1N030Cx           	AB1N031Cx           	AB1N032Cx           	AB1N033Cx           	AB1N034Cx           	AB1N035Cx           	AB1N036Cx           	AB1N037Cx           	AB1N038Cx           	AB1N039Cx           	AB1N040Cx           	AB1N001Alpha        	AB1N002Alpha        	AB1N003Alpha        	AB1N004Alpha        	AB1N005Alpha        	AB1N006Alpha        	AB1N007Alpha        	AB1N008Alpha        	AB1N009Alpha        	AB1N010Alpha        	AB1N011Alpha        	AB1N012Alpha        	AB1N013Alpha        	AB1N014Alpha        	AB1N015Alpha        	AB1N016Alpha        	AB1N017Alpha        	AB1N018Alpha        	AB1N019Alpha        	AB1N020Alpha        	AB1N021Alpha        	AB1N022Alpha        	AB1N023Alpha        	AB1N024Alpha        	AB1N025Alpha        	AB1N026Alpha        	AB1N027Alpha        	AB1N028Alpha        	AB1N029Alpha        	AB1N030Alpha        	AB1N031Alpha        	AB1N032Alpha        	AB1N033Alpha        	AB1N034Alpha        	AB1N035Alpha        	AB1N036Alpha        	AB1N037Alpha        	AB1N038Alpha        	AB1N039Alpha        	AB1N040Alpha        
      (s)           	(W)                 	(N)                 	(N-m)               	(-)                 	(-)                 	(-)                 	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(m/s)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(N/m)               	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(-)                 	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               	(deg)               
         0.0000	           3.231E+06	           5.701E+05	           4.610E+06	           4.156E-01	           5.342E-02	           5.867E-01	           5.754E+02	           8.031E+02	           1.655E+03	           2.157E+03	           3.003E+03	           3.594E+03	           3.663E+03	           3.483E+03	           3.018E+03	           1.535E+02	           1.318E+02	           1.560E+02	           1.281E+02	           1.722E+02	           2.514E+02	           2.693E+02	           2.648E+02	           2.199E+02	           2.135E+00	           1.166E+00	           1.069E+00	           8.376E-01	           8.249E-01	           9.043E-01	           9.270E-01	           9.427E-01	           9.227E-01	           5.692E-01	           1.914E-01	           1.008E-01	           4.972E-02	           4.730E-02	           6.325E-02	           6.816E-02	           7.166E-02	           6.722E-02	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           7.970E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           0.000E+00	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	           6.972E-01	          -7.313E+00	          -8.324E+01	           1.535E+02	           1.895E+02	           1.634E+02	           1.318E+02	           1.002E+02	           1.611E+02	           1.478E+02	           1.560E+02	           1.449E+02	           1.347E+02	           1.327E+02	           1.281E+02	           1.274E+02	           1.306E+02	           1.372E+02	           1.467E+02	           1.589E+02	           1.722E+02	           1.852E+02	           1.985E+02	           2.110E+02	           2.229E+02	           2.335E+02	           2.429E+02	           2.514E+02	           2.586E+02	           2.647E+02	           2.693E+02	           2.720E+02	           2.726E+02	           2.701E+02	           2.648E+02	           2.551E+02	           2.402E+02	           2.199E+02	           1.889E+02	           1.374E+02	          -1.624E+01	          -1.891E+00	           9.923E+01	           5.754E+02	           6.958E+02	           7.845E+02	           8.031E+02	           8.742E+02	           1.581E+03	           1.752E+03	           1.655E+03	           1.782E+03	           1.906E+03	           2.036E+03	           2.157E+03	           2.286E+03	           2.428E+03	           2.569E+03	           2.716E+03	           2.863E+03	           3.003E+03	           3.127E+03	           3.241E+03	           3.339E+03	           3.422E+03	           3.492E+03	           3.540E+03	           3.594E+03	           3.627E+03	           3.650E+03	           3.663E+03	           3.656E+03	           3.625E+03	           3.564E+03	           3.483E+03	           3.365E+03	           3.201E+03	           3.018E+03	           2.720E+03	           2.308E+03	           4.052E+02	          -7.553E+00	          -5.574E+01	           2.926E+02	           3.573E+02	           3.512E+02	           3.187E+02	           2.942E+02	           4.902E+02	           4.893E+02	           4.572E+02	           4.502E+02	           4.426E+02	           4.427E+02	           4.367E+02	           4.324E+02	           4.302E+02	           4.287E+02	           4.283E+02	           4.284E+02	           4.282E+02	           4.268E+02	           4.249E+02	           4.221E+02	           4.184E+02	           4.140E+02	           4.082E+02	           4.030E+02	           3.963E+02	           3.888E+02	           3.805E+02	           3.706E+02	           3.587E+02	           3.443E+02	           3.278E+02	           3.079E+02	           2.838E+02	           2.555E+02	           2.166E+02	           1.577E+02	          -1.319E+01	           0.000E+00	           1.169E+02	           5.187E+02	           6.264E+02	           7.203E+02	           7.489E+02	           8.293E+02	           1.512E+03	           1.689E+03	           1.598E+03	           1.731E+03	           1.859E+03	           1.992E+03	           2.116E+03	           2.248E+03	           2.393E+03	           2.536E+03	           2.686E+03	           2.835E+03	           2.978E+03	           3.104E+03	           3.219E+03	           3.319E+03	           3.403E+03	           3.475E+03	           3.525E+03	           3.580E+03	           3.615E+03	           3.639E+03	           3.653E+03	           3.647E+03	           3.617E+03	           3.558E+03	           3.478E+03	           3.360E+03	           3.197E+03	           3.015E+03	           2.718E+03	           2.306E+03	           4.053E+02	          -5.809E-01	          -3.856E-01	           5.692E-01	           4.984E-01	           3.154E-01	           1.914E-01	           1.141E-01	           1.491E-01	           1.136E-01	           1.008E-01	           8.024E-02	           6.503E-02	           5.700E-02	           4.972E-02	           4.540E-02	           4.314E-02	           4.272E-02	           4.343E-02	           4.513E-02	           4.730E-02	           4.956E-02	           5.202E-02	           5.446E-02	           5.695E-02	           5.918E-02	           6.147E-02	           6.325E-02	           6.506E-02	           6.675E-02	           6.816E-02	           6.938E-02	           7.050E-02	           7.133E-02	           7.166E-02	           7.136E-02	           7.027E-02	           6.722E-02	           6.257E-02	           4.992E-02	          -1.140E-02	          -1.502E-01	           4.597E-01	           2.135E+00	           1.830E+00	           1.515E+00	           1.166E+00	           9.950E-01	           1.463E+00	           1.347E+00	           1.069E+00	           9.873E-01	           9.200E-01	           8.743E-01	           8.376E-01	           8.147E-01	           8.023E-01	           7.999E-01	           8.039E-01	           8.132E-01	           8.249E-01	           8.368E-01	           8.495E-01	           8.618E-01	           8.741E-01	           8.849E-01	           8.959E-01	           9.043E-01	           9.127E-01	           9.205E-01	           9.270E-01	           9.325E-01	           9.375E-01	           9.412E-01	           9.427E-01	           9.413E-01	           9.364E-01	           9.227E-01	           9.011E-01	           8.386E-01	           2.846E-01	          -6.000E-01	          -2.582E-01	           1.086E+00	           9.396E-01	           6.781E-01	           4.629E-01	           3.349E-01	           4.537E-01	           3.761E-01	           2.954E-01	           2.493E-01	           2.136E-01	           1.901E-01	           1.696E-01	           1.541E-01	           1.422E-01	           1.335E-01	           1.268E-01	           1.217E-01	           1.176E-01	           1.142E-01	           1.114E-01	           1.089E-01	           1.069E-01	           1.049E-01	           1.033E-01	           1.014E-01	           9.972E-02	           9.807E-02	           9.631E-02	           9.454E-02	           9.277E-02	           9.092E-02	           8.872E-02	           8.615E-02	           8.303E-02	           7.812E-02	           7.175E-02	           5.729E-02	          -9.265E-03	           0.000E+00	           5.416E-01	           1.924E+00	           1.647E+00	           1.391E+00	           1.088E+00	           9.439E-01	           1.399E+00	           1.298E+00	           1.033E+00	           9.586E-01	           8.972E-01	           8.553E-01	           8.218E-01	           8.012E-01	           7.907E-01	           7.899E-01	           7.950E-01	           8.053E-01	           8.178E-01	           8.304E-01	           8.437E-01	           8.566E-01	           8.694E-01	           8.807E-01	           8.920E-01	           9.008E-01	           9.096E-01	           9.177E-01	           9.245E-01	           9.303E-01	           9.355E-01	           9.395E-01	           9.412E-01	           9.401E-01	           9.354E-01	           9.218E-01	           9.004E-01	           8.382E-01	           2.847E-01	          -1.450E+01	           5.001E+01	           2.558E+01	           2.081E+01	           1.711E+01	           1.466E+01	           1.230E+01	           6.685E+00	           5.714E+00	           6.115E+00	           5.415E+00	           4.849E+00	           4.390E+00	           4.076E+00	           3.883E+00	           3.780E+00	           3.761E+00	           3.794E+00	           3.871E+00	           3.968E+00	           4.069E+00	           4.177E+00	           4.283E+00	           4.388E+00	           4.481E+00	           4.575E+00	           4.647E+00	           4.720E+00	           4.786E+00	           4.842E+00	           4.889E+00	           4.932E+00	           4.964E+00	           4.977E+00	           4.965E+00	           4.923E+00	           4.805E+00	           4.620E+00	           4.084E+00	          -4.306E-01
