-------  ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE  --------------------------
DTU 10MW onshore reference wind turbine v0.1 - OpenFAST v2.4
---------------------- BLADE PARAMETERS ----------------------------------------
         40   NBlInpSt    - Number of blade input stations (-)
        3.0   BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%)
        8.4   BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%)
        3.0   BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
        1.0   FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
        1.0   FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
        1.0   AdjBlMs     - Factor to adjust blade mass density (-)  
        1.0   AdjFlSt     - Factor to adjust blade flap stiffness (-)
        1.0   AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
          BlFract          PitchAxis          StrcTwst          BMassDen          FlpStff          EdgStff          GJStff          EAStff          Alpha          FlpIner          EdgIner          PrecrvRef          PreswpRef          FlpcgOf          EdgcgOf          FlpEAOf          EdgEAOf
              (-)              (-)              (deg)              (kg/m)              (Nm^2)              (Nm^2)              (Nm^2)              (N)              (-)              (kg m)              (kg m)              (m)              (m)              (m)              (m)              (m)              (m)
0.46154	 0.22341	 2.72078	 446.75666	 2381529238.27705	 8747191424.74294	 458524281.40020	 6920803277.18079	 0.00000	 130.55482	 681.27321	 -0.50111	 0.03746	 0.57679	 0.04382	 0.40767	 0.00000	
0.48718	 0.22364	 2.41671	 426.06847	 2024061373.31422	 7737970413.79258	 393743438.41064	 6633563475.71231	 0.00000	 110.57349	 604.34237	 -0.57711	 0.03608	 0.56213	 0.04227	 0.39337	 0.00000	
0.51282	 0.22319	 2.22199	 397.44242	 1707550358.26683	 6472011597.25849	 328097133.79157	 6249156802.66992	 0.00000	 92.77392	 503.30481	 -0.65283	 0.03596	 0.51443	 0.04167	 0.35950	 0.00000	
0.53846	 0.22320	 1.95975	 376.96983	 1447774423.53012	 5693307739.17991	 282626635.05383	 5959268515.91367	 0.00000	 78.41137	 441.46604	 -0.73578	 0.03450	 0.49562	 0.03991	 0.34703	 0.00000	
0.56410	 0.22285	 1.74629	 352.88618	 1221203834.08512	 4876566743.20479	 236518250.59493	 5622157185.80903	 0.00000	 65.85252	 375.53338	 -0.82786	 0.03377	 0.46717	 0.03884	 0.32762	 0.00000	
0.58974	 0.22214	 1.57575	 328.46560	 1031297690.48006	 4057591065.21382	 201114477.71784	 5281113536.56138	 0.00000	 55.35105	 310.40352	 -0.91826	 0.03275	 0.43227	 0.03742	 0.30183	 0.00000	
0.61538	 0.22201	 1.40285	 308.19188	 870551204.26930	 3483136045.26951	 171933304.48662	 4975831525.65501	 0.00000	 46.60334	 267.18852	 -1.01894	 0.03104	 0.41657	 0.03554	 0.28899	 0.00000	
0.64103	 0.22153	 1.25044	 284.30546	 732641206.04949	 2878765944.55965	 144725479.22257	 4632388699.39221	 0.00000	 39.03376	 219.07833	 -1.12813	 0.03056	 0.38166	 0.03457	 0.26919	 0.00000	
0.66667	 0.21935	 1.13616	 263.18543	 611976211.99135	 2404758787.03447	 122600232.40596	 4289261196.56182	 0.00000	 32.58077	 183.59721	 -1.23543	 0.02849	 0.35939	 0.03230	 0.25247	 0.00000	
0.69231	 0.21966	 1.01516	 240.60022	 510960835.30812	 1970078825.86604	 103535893.30166	 3944688959.86216	 0.00000	 27.14326	 149.84256	 -1.35550	 0.02742	 0.33639	 0.03093	 0.23748	 0.00000	
0.71795	 0.21865	 0.91341	 219.54993	 420451750.36013	 1632704257.72008	 87640145.11343	 3598295771.99441	 0.00000	 22.34212	 124.55415	 -1.48282	 0.02536	 0.32379	 0.02880	 0.22786	 0.00000	
0.74359	 0.21547	 0.83711	 196.73217	 340832927.89015	 1308754445.35984	 72597969.35059	 3228499038.63208	 0.00000	 18.06607	 99.57451	 -1.60967	 0.02398	 0.29983	 0.02715	 0.21277	 0.00000	
0.76923	 0.21524	 0.75506	 177.79946	 272938050.84266	 1070679716.64579	 60044770.56140	 2883639169.08280	 0.00000	 14.54439	 82.58695	 -1.74862	 0.02205	 0.29454	 0.02523	 0.20865	 0.00000	
