Blade section properties
51        n_secs:     number of blade sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
	(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
0.82500	0.65	0.65	140.05	9.19	53.01	1.71030E+08	6.85020E+08	4.14720E+07	2.24350E+09	0.0214	0.0384	0.0000
0.84500	0.60	0.60	124.35	7.47	42.82	1.38110E+08	5.53970E+08	3.56780E+07	1.98120E+09	0.0204	0.0369	0.0000
0.86444	0.57	0.57	108.93	5.89	35.75	1.08710E+08	4.60660E+08	2.89880E+07	1.72040E+09	0.0188	0.0347	0.0000
0.88444	0.54	0.54	95.18	4.61	28.67	8.39390E+07	3.59050E+08	2.39020E+07	1.46710E+09	0.0169	0.0323	0.0000
0.90500	0.57	0.57	82.34	3.51	23.23	6.30620E+07	2.96050E+08	2.02490E+07	1.24960E+09	0.0152	0.0306	0.0000
0.92500	0.55	0.55	68.28	2.50	17.65	4.42760E+07	2.17150E+08	1.55370E+07	1.00650E+09	0.0136	0.0284	0.0000
0.94455	0.59	0.59	54.47	1.63	12.75	2.83400E+07	1.55000E+08	1.13920E+07	7.79110E+08	0.0110	0.0254	0.0000
0.96500	0.69	0.69	40.65	0.89	8.08	1.44810E+07	1.00370E+08	7.21380E+06	5.53870E+08	0.0084	0.0223	0.0000
0.98501	0.79	0.79	25.20	0.31	3.55	4.49690E+06	4.17160E+07	2.93570E+06	3.07400E+08	0.0051	0.0173	0.0000
1.00000	0.96	0.96	15.42	0.08	1.12	1.02750E+06	1.27140E+07	7.93300E+05	1.72200E+08	0.0028	0.0119	0.0000
