Blade section properties
51        n_secs:     number of blade sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
	(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
      0.00      0.00      0.00   1189.50   3957.30   3706.50  61872000000.00  61012000000.00  27456000000.00  17786000000.00     -0.01     -0.01      0.00
      0.02      0.00      0.00   1191.60   3967.60   3712.10  62176000000.00  61117000000.00  27478000000.00  17842000000.00     -0.01     -0.01      0.00
      0.04      0.00      0.00   1202.80   3982.20   3724.80  62996000000.00  61128000000.00  27324000000.00  18082000000.00     -0.00     -0.01      0.00
      0.06      0.00      0.00   1171.50   3764.90   3578.00  60147000000.00  58085000000.00  25596000000.00  17656000000.00      0.01      0.01      0.00
      0.08     -0.01     -0.01   1112.38   3355.10   3300.30  54376382611.28  52871354058.18  22141000000.00  16849000000.00      0.02      0.01      0.00
      0.10     42.89     42.89   1054.55   2749.40   3102.90  44768210149.61  51631187017.88  18390000000.00  15961000000.00      0.03      0.04      0.00
      0.12     36.73     36.73   1011.00   2234.60   2704.30  39951484259.78  49042782538.65  13970000000.00  14829000000.00      0.06      0.07      0.00
      0.14     27.48     27.48    982.59   1740.00   2419.90  35889005815.80  47870548511.18  10101000000.00  13851000000.00      0.09      0.10      0.00
      0.16     21.47     21.47    980.46   1357.20   2245.80  32604196340.67  48519055918.00   7447700000.00  13255000000.00      0.08      0.09      0.00
      0.18     17.25     17.25    984.29   1125.50   2164.20  30171530088.93  50116545952.99   6028200000.00  12896000000.00      0.07      0.10      0.00
      0.20     14.06     14.06    934.71    856.03   1964.90  25927088424.13  48221193334.72   4051900000.00  11686000000.00      0.08      0.10      0.00
      0.22     11.75     11.75    905.26    725.87   1880.50  23568048222.54  47273910397.55   3350800000.00  11011000000.00      0.09      0.12      0.00
      0.24     10.21     10.21    865.28    617.25   1741.20  21211052611.03  45006760689.18   2637900000.00  10269000000.00      0.09      0.12      0.00
      0.26      9.08      9.08    832.63    531.95   1619.10  19183751152.53  42438707586.77   2119000000.00   9658800000.00      0.08      0.12      0.00
      0.28      8.08      8.08    806.73    463.17   1508.50  17428792214.92  40198051098.01   1743700000.00   9185100000.00      0.08      0.11      0.00
      0.30      6.57      6.57    771.90    391.94   1451.40  15155885720.76  41295599355.97   1418700000.00   8712100000.00      0.07      0.10      0.00
      0.32      5.92      5.92    761.21    345.88   1368.70  13705710782.53  39730186035.54   1242500000.00   8557300000.00      0.06      0.08      0.00
      0.34      5.36      5.36    744.46    305.16   1277.90  12266452513.28  37522303928.68   1089500000.00   8383200000.00      0.06      0.07      0.00
      0.36      4.98      4.98    719.92    269.43   1172.30  10864297009.48  34066975512.21    961880000.00   8192100000.00      0.05      0.06      0.00
      0.38      4.59      4.59    693.06    238.26   1065.50   9546483147.19  30332399748.08    833480000.00   7953200000.00      0.05      0.06      0.00
      0.40      4.16      4.16    659.64    210.42    971.61   8186646163.31  26841746080.38    744520000.00   7764000000.00      0.05      0.06      0.00
      0.42      3.71      3.71    629.97    185.45    893.13   6919161236.20  23706197626.68    654380000.00   7555100000.00      0.05      0.06      0.00
      0.45      3.33      3.33    592.80    163.07    809.14   5654128830.09  19974656532.94    570810000.00   7327800000.00      0.05      0.06      0.00
      0.46      3.02      3.02    556.61    143.93    739.22   4610260286.70  16672550865.33    502900000.00   7108500000.00      0.04      0.06      0.00
      0.48      2.67      2.67    514.21    125.77    661.54   3620930500.40  13407361264.96    443190000.00   6853000000.00      0.04      0.06      0.00
      0.50      2.35      2.35    475.12    110.03    601.70   2807949908.86  10738902947.72    391840000.00   6623800000.00      0.04      0.06      0.00
      0.52      2.13      2.13    428.07     95.48    516.39   2130864493.33   8059825723.88    337860000.00   6308200000.00      0.04      0.06      0.00
      0.54      1.88      1.88    390.71     83.32    466.08   1602449943.77   6235972219.14    297080000.00   6058500000.00      0.04      0.06      0.00
      0.56      1.65      1.65    351.89     72.63    409.38   1196404107.30   4738048340.79    264000000.00   5824200000.00      0.04      0.06      0.00
      0.58      1.49      1.49    315.94     63.01    360.23    882702167.23   3525975668.77    225160000.00   5529600000.00      0.04      0.06      0.00
      0.60      1.35      1.35    279.87     54.45    305.05    640400636.75   2518072211.14    198460000.00   5251800000.00      0.04      0.06      0.00
      0.62      1.24      1.24    252.64     47.41    271.45    478010449.30   1911037607.61    174820000.00   5007200000.00      0.04      0.06      0.00
      0.65      1.15      1.15    225.47     41.17    232.89    356421601.31   1408990475.61    152360000.00   4737900000.00      0.03      0.06      0.00
      0.67      1.10      1.10    201.91     35.56    198.58    272101998.07   1064982369.92    132570000.00   4450700000.00      0.03      0.06      0.00
      0.69      1.07      1.07    183.81     30.79    173.93    211639114.07    831473371.17    116520000.00   4184500000.00      0.03      0.05      0.00
      0.70      1.03      1.03    166.05     26.53    146.01    170130273.47    654588241.63    101380000.00   3902000000.00      0.03      0.05      0.00
      0.72      1.01      1.01    152.46     22.81    127.10    139446155.40    541512600.13     89164000.00   3634700000.00      0.03      0.05      0.00
      0.74      1.03      1.03    137.95     19.25    105.99    113741250.89    436245076.32     77009000.00   3336600000.00      0.03      0.05      0.00
      0.76      1.00      1.00    126.32     16.19     90.56     94293304.72    366517419.50     65622000.00   3049700000.00      0.03      0.05      0.00
      0.78      1.02      1.02    116.01     13.55     77.24     78382593.41    307934262.67     56728000.00   2776400000.00      0.02      0.04      0.00
      0.81      1.00      1.00    104.41     11.11     62.67     65200645.82    255225408.77     47991000.00   2488600000.00      0.02      0.04      0.00
      0.82      1.03      1.03     96.18      9.19     53.01     55391230.10    221856402.05     41472000.00   2243500000.00      0.02      0.04      0.00
      0.84      1.02      1.02     86.69      7.47     42.82     46801249.14    187723466.69     35678000.00   1981200000.00      0.02      0.04      0.00
      0.86      1.03      1.03     77.38      5.89     35.75     38963628.39    165108868.13     28988000.00   1720400000.00      0.02      0.03      0.00
      0.88      1.02      1.02     69.34      4.61     28.67     32455653.50    138829416.47     23902000.00   1467100000.00      0.02      0.03      0.00
